accX,accY,accZ,gX,gY,gZ,gyrX,gyrY,gyrZ,mX,mY,mZ,oZ,oX,oY,delta
-0.31,-0.6704,8.9902,-1.2017,1.1219,9.6679,0.3238,-0.0916,-2.3286,-15.7,1.4,-46.4,74.96,-6.34,7.18,9218
-0.2885,-0.6859,9.432,-1.2276,1.051,9.6726,0.0843,0.0098,-2.6573,-16.9,-3.2,-45.7,84.63,-6.68,6.78,9319
-0.923,-0.6225,10.3058,-1.2022,0.8543,9.6951,0.3152,-0.2615,-2.6182,-17.7,-7.5,-46.7,97.11,-5.18,7.25,9421
-2.1727,-0.5363,9.6558,-1.1501,0.782,9.7075,0.2297,-0.2615,-2.3408,-16.3,-14.3,-44.9,116.37,-4.53,6.96,9523
-1.5969,0.0072,9.2979,-1.0132,0.8398,9.718,0.2663,-0.2578,-1.9108,-15.3,-18.7,-45.4,127.7,-4.88,6.17,9625
-2.4181,-0.5219,11.0349,-0.7829,0.8205,9.7408,0.2969,-0.3506,-1.4319,-13.3,-22.6,-43.3,139.81,-4.8,4.6,9727
-1.585,-0.1173,10.0245,-0.3778,1.1693,9.7294,0.1637,-0.5632,-1.2523,-12.7,-24.2,-42.6,141.21,-6.41,3.2,9830
-2.3092,-0.6153,9.8055,-0.2141,1.0798,9.7447,-0.1625,-0.0929,-1.2205,-11.3,-26.7,-41.6,151.81,-6.32,1.26,9932
-2.3439,0.1712,9.2009,-0.2229,0.9886,9.7541,0.0904,-0.0965,-0.8467,-10.1,-28.1,-41,155.71,-5.84,0.97,10033
-1.8411,0.4633,9.8114,-0.1352,0.9992,9.7547,0.0709,-0.2358,-0.6487,-8.9,-29.2,-40.6,158.98,-6.09,0.58,10135
-1.4856,0.3687,9.736,-0.2463,0.9006,9.7621,0.0428,-0.0929,-0.4007,-7.1,-29.8,-41.1,163.13,-5.39,1.25,10237
-1.4006,0.6033,8.4779,-0.286,0.7946,9.7702,-0.0929,-0.0684,-0.1466,-5.8,-30.1,-41,164.86,-4.65,1.68,10339
-0.182,0.9146,9.73,-0.0834,0.5623,9.7902,-0.2065,-0.0831,0.0672,-5.4,-29.7,-41.2,167.95,-3.76,1.14,10441
-0.723,0.7302,9.2332,-0.0781,0.3884,9.7986,-0.193,0.0843,0.0379,-5.4,-29,-41.1,168.53,-2.55,0.71,10543
-0.1987,0.4022,10.9954,0.098,0.182,9.8045,-0.2883,0.0171,0.0599,-6.1,-27.9,-41.5,168.4,-1.06,-0.57,10645
0.0084,0.425,9.9551,0.0949,0.2127,9.8039,0.0195,0.0244,0.0147,-6.7,-27.3,-41.6,165.81,-1.24,-0.55,10748
-0.1927,0.4094,8.8454,0.0092,0.2601,9.8032,0.1014,0.1442,-0.0098,-6.9,-27.1,-41.9,165.14,-1.4,-0.15,10849
-0.2059,0.395,9.6271,0.0735,0.2405,9.8034,0.022,-0.0318,-0.0696,-7.1,-27.1,-42.1,165.56,-1.36,-0.42,10952
-0.571,0.2239,9.997,0.0347,0.2616,9.8031,0.0464,0.0806,-0.1124,-7,-27,-42.1,165.46,-1.45,-0.37,11053
-0.4645,0.3352,9.3589,-0.0104,0.3525,9.8003,0.0269,0.0892,-0.0232,-6.7,-27.2,-41.8,164.84,-1.96,-0.11,11155
-0.1856,0.2562,9.5122,0.0122,0.3321,9.801,-0.0489,-0.1185,0,-6.4,-27.3,-41.7,166.56,-2.07,0.12,11257
-0.4178,0.1053,9.6953,0.0125,0.1282,9.8058,-0.1857,0.0452,0.0244,-6.3,-27.5,-41.6,167.31,-1.04,-0.13,11359
-0.0431,0.3496,9.7145,0.1139,0.0414,9.8059,-0.1063,-0.0941,0.0843,-6.5,-27.2,-42,167.54,-0.53,-0.17,11461
-0.0479,-0.0395,10.2843,0.1672,-0.0348,9.8052,-0.0904,-0.0574,0.0379,-6.9,-26.8,-42.4,166.8,0.18,-0.87,11564
-0.1221,0.1161,9.0381,0.186,0.0701,9.8046,0.1881,0.0574,0.0428,-7.1,-26.4,-42.5,166.43,-0.41,-1.09,11665
0.012,0.1233,9.0848,0.2107,0.1836,9.8027,0.0024,0.0428,0.0183,-7.4,-26.5,-42.4,166.48,-1.03,-1.27,11768
-0.0275,0.2622,9.1195,0.1533,0.126,9.8046,-0.1283,-0.0073,-0.0476,-7.5,-26.7,-42.1,166.52,-0.74,-0.9,11869
-0.2765,-0.0742,10.404,0.1771,-0.0588,9.8049,-0.1967,-0.0171,-0.0415,-7.5,-26.7,-42.2,166.96,0.15,-0.98,11972
-0.0419,0.0587,9.8055,0.23,-0.0865,9.8036,-0.0428,-0.0073,0.0171,-7.5,-26.3,-42.4,167.16,0.51,-1.34,12073
0.2885,-0.067,10.5692,0.3041,-0.1079,9.8013,-0.0318,-0.0367,0.0037,-7.7,-26.1,-42.6,165.4,0.5,-1.5,12176
-0.2155,0.5555,8.1032,0.2527,0.057,9.8032,0.3042,0.1148,0.033,-8.1,-25.9,-42.7,165.4,0.05,-1.62,12277
-0.0431,0.1784,10.1801,0.3271,0.0192,9.8012,-0.077,-0.1808,-0.0391,-8.2,-26,-42.8,165.29,-0.26,-1.63,12379
-0.0215,0.2693,9.5624,0.4128,0.0203,9.7979,-0.0757,-0.0831,-0.0562,-8.4,-26.2,-42.7,166.58,-0.12,-2.41,12482
0.2298,0.3519,9.8258,0.5019,-0.047,9.7937,-0.0586,-0.0867,-0.0513,-8.5,-26.2,-42.4,166.98,0.1,-2.68,12583
0.6416,0.4477,9.487,0.5302,0.0023,9.7923,0.1124,0.0086,-0.0049,-8.7,-26.3,-42.3,165.55,0.22,-3.07,12685
0.4525,0.6021,9.7743,0.5069,0.0369,9.7935,0,0.0464,-0.0672,-8.8,-26.3,-42.4,165.22,-0.22,-2.96,12787
0.5447,0.9685,9.3984,0.4489,0.0599,9.7962,0.0232,0.0733,-0.0489,-8.7,-26.3,-42.5,164.85,-0.24,-2.73,12890
0.4094,1.4018,8.928,0.3901,0.1043,9.7983,-0.0318,0.0489,-0.0916,-8.3,-26.4,-42.6,166.36,-0.52,-2.37,12991
0.0359,1.081,10.4926,0.4217,0.0843,9.7972,-0.0721,0.0586,-0.1222,-8.1,-26.3,-42.8,166.5,-0.62,-2.49,13094
0.0347,0.7326,10.89,0.4606,0.2024,9.7937,-0.0391,-0.0525,-0.0293,-7.8,-26.4,-42.9,166.62,-1.18,-2.69,13195
0.0706,0.9948,9.4272,0.4225,0.3524,9.7912,0.3616,0.1161,0.1222,-7.8,-26.6,-42.9,166.98,-1.45,-2.67,13298
-1.0953,-0.1197,9.9707,0.3241,0.3402,9.7954,0.1026,0.1735,0.1222,-7.7,-27,-42.7,166.02,-1.83,-2.16,13399
