accX,accY,accZ,gX,gY,gZ,gyrX,gyrY,gyrZ,mX,mY,mZ,oZ,oX,oY,delta
-0.1401,0.0802,9.5577,0.0108,0.0288,9.8066,-0.033,0.011,0.0086,-3.2,21.2,-43.8,7.87,-0.22,-0.1,5451
-0.0994,0.0048,9.6965,0.0075,0.0232,9.8066,0.0086,-0.0305,0.0183,-3,21.3,-43.6,8,-0.14,-0.04,5553
-0.1532,0.1676,9.7516,0.0133,0.0387,9.8066,-0.0061,0.0049,0.0037,-3,21.3,-43.5,7.89,-0.23,-0.09,5655
-0.1604,0.0251,9.6786,-0.003,0.0259,9.8066,-0.0195,0.0049,-0.0037,-2.9,21.3,-43.6,8.12,-0.15,0.02,5757
-0.0958,0.0622,9.7779,-0.0253,0.0227,9.8066,-0.0281,0.0171,0.011,-2.8,21.2,-43.8,8.32,-0.19,0.12,5859
-0.1664,0.0718,9.8342,-0.0457,0.0136,9.8065,-0.0379,0.0037,0.0244,-2.8,21.3,-43.6,8.65,-0.08,0.27,5961
-0.1137,0.1185,9.8653,-0.0614,0.0135,9.8064,-0.0012,0.0244,0.0086,-2.7,21.3,-43.4,8.82,-0.08,0.36,6063
-0.1437,0.0156,9.7049,-0.0689,-9.00E-04,9.8064,-0.033,-0.0012,-0.0171,-2.7,21.4,-43,8.91,-0.04,0.4,6166
-0.0706,0.0239,9.7767,-0.0681,-0.0083,9.8064,-0.0037,-0.0281,-0.0403,-2.6,21.4,-43.2,8.94,0.05,0.4,6268
-0.2789,-0.0778,9.6163,-0.0716,-0.0323,9.8063,0.0257,0.0037,-0.0012,-2.6,21.4,-43.3,8.96,0.12,0.4,6370
-0.1425,0.103,9.8126,-0.0539,-0.0051,9.8065,0.0269,-0.0391,0.0024,-2.8,21.6,-43.4,8.5,0.05,0.38,6471
-0.2622,0.0634,9.572,-0.0573,-0.0335,9.8064,-0.0269,-0.0012,0.0012,-2.9,21.6,-43.2,8.44,0.13,0.33,6573
-0.2251,0.0575,9.7671,-0.0685,-0.0294,9.8064,-0.0012,0.0037,0.0086,-2.9,21.7,-43.1,8.51,0.22,0.35,6676
-0.1856,-0.0144,9.6881,-0.0812,-0.0449,9.8062,-0.0232,0.0183,-0.0061,-2.9,21.8,-43,8.75,0.26,0.47,6777
-0.2251,0.0467,9.6151,-0.1018,-0.0528,9.806,0.0244,0.0134,0.0024,-2.8,21.8,-43.1,8.91,0.33,0.54,6879
-0.2143,-0.0694,9.6331,-0.0991,-0.0557,9.806,0.0012,0.0244,-0.0147,-2.7,21.8,-43.1,8.9,0.3,0.55,6982
-0.1365,-0.006,9.7695,-0.0855,-0.05,9.8062,0.022,-0.0379,-0.0195,-2.6,21.7,-42.7,8.81,0.29,0.5,7084
-0.2334,-0.0934,9.6917,-0.0691,-0.0457,9.8063,-0.0122,0.0037,-0.0086,-2.6,21.7,-42.9,8.62,0.27,0.4,7186
-0.1903,-0.0359,9.7671,-0.0558,-0.0516,9.8064,0.0024,-0.033,-0.0012,-2.7,21.7,-42.7,8.56,0.3,0.37,7287
-0.2813,-0.0419,9.6331,-0.0512,-0.0634,9.8063,-0.0147,0.0086,0.0098,-2.8,21.6,-42.8,8.44,0.37,0.3,7390
-0.1832,0.0371,9.8114,-0.0677,-0.0638,9.8062,0.0208,0.0122,0.0098,-2.9,21.6,-42.7,8.57,0.38,0.36,7492
-0.1891,0.0323,9.6067,-0.1054,-0.0669,9.8059,-0.0037,0.0367,-0.0086,-3,21.6,-42.8,8.89,0.39,0.53,7594
-0.2753,-0.0455,9.5217,-0.1219,-0.0689,9.8057,0.0281,-0.022,-0.0037,-2.9,21.6,-43,9.17,0.45,0.66,7695
-0.1425,0.0132,9.9491,-0.1102,-0.0549,9.8059,0.011,0.0012,-0.0037,-2.8,21.7,-43.2,9.09,0.32,0.64,7798
-0.3376,-0.0311,9.5205,-0.1203,-0.0869,9.8055,-0.0574,0.0171,0.011,-2.7,21.6,-43.4,9.19,0.41,0.68,7899
-0.231,-0.0108,9.7348,-0.1226,-0.0825,9.8055,0.0061,0,0.0159,-2.8,21.7,-43.6,9.32,0.48,0.72,8002
-0.1867,-0.0431,9.7659,-0.1126,-0.071,9.8057,-0.0024,-0.033,-0.0086,-2.8,21.7,-43.3,9.23,0.41,0.7,8103
-0.2717,0.006,9.7396,-0.1075,-0.0546,9.8059,-0.0281,-0.0098,0.0122,-2.8,21.8,-43.2,9.06,0.32,0.63,8205
-0.2011,0.1592,9.8749,-0.1154,-0.0483,9.8059,0.0159,-0.0122,0.0086,-3,21.8,-43.2,9.14,0.28,0.67,8307
-0.3675,-0.0467,9.6426,-0.1297,-0.0442,9.8057,0.0171,-0.011,0.0086,-2.9,21.7,-43.4,9.25,0.25,0.74,8409
-0.9541,-0.2059,10.088,-0.148,-0.0137,9.8055,0.0159,-0.0134,0.0403,-2.8,21.7,-43.3,9.44,0.08,0.86,8512
-1.634,-0.1089,10.094,-0.2859,0.2565,9.7991,0.4496,0.1979,0.766,-2.6,21.5,-43.4,9.91,-0.52,1.22,8614
-0.8116,0.6201,9.6558,-0.5094,0.9024,9.7518,0.4374,0.2541,1.609,-1.2,19.9,-43.8,7.52,-4.31,2.7,8715
-0.5614,0.7602,8.5748,-0.3636,1.1382,9.7336,0.1747,0.1124,2.0159,2.9,16.2,-44.2,358.4,-6.66,3.14,8817
